0=standard ship weapons (for human: big gun no multp.), 1=teeth/jaw attacks, 2=thruster/reverse firing weapons, 3=hand-laser pistol), 4=hand-projectile (pistol), 5=hand-projectile (machinegun), 6=hand-laser (machinegun), 7=Flame weapons (big gun), 8=jetpack/mines/dynamite/airstrike (backpack), 9=knife hit melee (harms animals more), 10=Pick/mining/knifethrow (only thing to hurt rocks), 11=hand (bow harms animals more), 12=fusion, 13=alien tech, 14=space mining, 15=ECM;//weapon class names
 0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
 1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
 75;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.250000;//push target back
  0.00000;//push shooter back
  bow1.wav;//fire sound
  bimpact.wav;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  0;//condition
    99.000000;//condition parameter0
    1.000000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
16;//effect number
    99.000000;//parameter1
    -1.000000;//parameter2
    1.000000;//parameter3
    0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
   23;//effect number
      -13.000000;//parameter1
      60.000000;//parameter2
      4.000000;//parameter3
      20000.000000;//parameter4
22;//effect number
      7.000000;//parameter1
      20000.000000;//parameter2
     60.000000;//parameter3
      0.000000;//parameter4
  end_hit_effects;
Airstrike damage - sound 1;//name---------------------------------------
  61;//identifier
  0;//class
  fire0.png;//bullet texture
  50;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  1.000000;//bullet size
  6.280000;//spread
  2.000000;//bullet speed
  50.000000;//time until bullet disappears
  10;//fire rate
  2;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.200000;//push target back
  0.000000;//push shooter back
  explode.WAV;//fire sound
  explosion1.wav;//hit sound
  10.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    10.000000;//parameter3
    0.000000;//parameter4 
  26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    44.000000;//parameter3
    0.000000;//parameter4 
  26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    2.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    24.000000;//parameter1
    60.000000;//parameter2
    15.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    42.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    24.000000;//parameter1
    10.000000;//parameter2
    58.000000;//parameter3
    0.000000;//parameter4
  27;//effect number
    15.000000;//parameter1
    100.000000;//parameter2
    1.500000;//parameter3
    2.200000;//parameter4
  27;//effect number
    14.000000;//parameter1
    80.000000;//parameter2
    0.100000;//parameter3
    0.200000;//parameter4    
  26;//effect number
    1.000000;//parameter1
    2.000000;//parameter2
    41.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    2.000000;//parameter1
    2.000000;//parameter2
    41.000000;//parameter3
    0.000000;//parameter4 
  36;//effect number
    5.000000;//parameter1
    1500.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4
  29;//effect number
    60.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -300.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
 44;//effect number
    0.0700000;//parameter1
    0.000000;//parameter2
    9.000000;//parameter3
    0.000000;//parameter4
   end_hit_effects;
Airstrike damage - sound 2;//name---------------------------------------
  62;//identifier
  0;//class
  fire0.png;//bullet texture
  50;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  1.000000;//bullet size
  6.280000;//spread
  2.000000;//bullet speed
  50.000000;//time until bullet disappears
  10;//fire rate
  2;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.200000;//push target back
  0.000000;//push shooter back
  explode.WAV;//fire sound
  explosion1.wav;//hit sound
  10.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    10.000000;//parameter3
    0.000000;//parameter4 
  26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    44.000000;//parameter3
    0.000000;//parameter4 
  26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    2.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    24.000000;//parameter1
    60.000000;//parameter2
    15.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    24.000000;//parameter1
    30.000000;//parameter2
    42.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    24.000000;//parameter1
    10.000000;//parameter2
    58.000000;//parameter3
    0.000000;//parameter4
  27;//effect number
    15.000000;//parameter1
    100.000000;//parameter2
    1.500000;//parameter3
    2.200000;//parameter4
  27;//effect number
    14.000000;//parameter1
    80.000000;//parameter2
    0.100000;//parameter3
    0.200000;//parameter4    
  26;//effect number
    1.000000;//parameter1
    2.000000;//parameter2
    41.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    2.000000;//parameter1
    2.000000;//parameter2
    41.000000;//parameter3
    0.000000;//parameter4 
  36;//effect number
    5.000000;//parameter1
    1500.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4
  29;//effect number
    70.000000;//parameter1
    0.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -300.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
 44;//effect number
    0.0700000;//parameter1
    0.000000;//parameter2
    9.000000;//parameter3
    0.000000;//parameter4
   end_hit_effects;
Call in airstrike;//name---------------------------------------
  63;//identifier
  8;//class
  invisible.png;//bullet texture
  0;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
  0.300000;//bullet speed
  100.000000;//time until bullet disappears
  1000;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  dropbomb.wav;//fire sound
  bimpact.wav;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  0;//condition
    101.000000;//condition parameter0
    1.000000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
  29;//effect number                   airstrike script
     69.000000;//parameter1
      0.000000;//parameter2
     0.00000;//parameter3
      0.000000;//parameter4
  16;//effect number  
    101.000000;//parameter1
    -1.000000;//parameter2
    1.000000;//parameter3
    0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Wolf native;//name---------------------------------------
  64;//identifier
  1;//class
  bullet0.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.200000;//spread
  0.750000;//bullet speed
  100.000000;//time until bullet disappears
  500;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.200000;//push target back
  -0.600000;//push shooter back
  wolfattack.wav;//fire sound
  wolfattack.wav;//hit sound
  2.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -10.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
  4;//effect number
    -8.000000;//parameter1
    0.000000;//parameter2
    12.000000;//parameter3
    0.000000;//parameter4
  end_hit_effects;
Wolf pet small;//name---------------------------------------
  65;//identifier
  1;//class
  bullet0.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.200000;//spread
  0.750000;//bullet speed
  100.000000;//time until bullet disappears
  500;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.200000;//push target back
  -0.600000;//push shooter back
  wolfattack.wav;//fire sound
  wolfattack.wav;//hit sound
  2.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -8.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
   end_hit_effects;
Wolf pet medium;//name---------------------------------------
  66;//identifier
  1;//class
  bullet0.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.200000;//spread
  0.750000;//bullet speed
  100.000000;//time until bullet disappears
  500;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.200000;//push target back
  -0.600000;//push shooter back
  wolfattack.wav;//fire sound
  wolfattack.wav;//hit sound
  2.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -16.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
   end_hit_effects;
Wolf pet grown;//name---------------------------------------
  67;//identifier
  1;//class
  bullet0.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.200000;//spread
  0.750000;//bullet speed
  100.000000;//time until bullet disappears
  500;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.200000;//push target back
  -0.600000;//push shooter back
  wolfattack.wav;//fire sound
  wolfattack.wav;//hit sound
  2.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -26.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
   end_hit_effects;
Bear native;//name---------------------------------------
  68;//identifier
  1;//class
  bullet0.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.200000;//spread
  0.750000;//bullet speed
  120.000000;//time until bullet disappears
  600;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.5500000;//push target back
  -0.500000;//push shooter back
  bearattack2.wav;//fire sound
    bearattack3.wav;//hit sound
  2.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -20.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
  4;//effect number
    -14.000000;//parameter1
    0.000000;//parameter2
    12.000000;//parameter3
    0.000000;//parameter4
  end_hit_effects;
Tank MG;//name---------------------------------------
  69;//identifier
  5;//class
  shell.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  1.000000;//bullet size
  0.030000;//spread
  2.400000;//bullet speed
  280.000000;//time until bullet disappears
  100;//fire rate
  2;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.0200000;//push target back
  0.000000;//push shooter back
  mg.wav;//fire sound
  bimpact.wav;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
    27;//effect number
    14.000000;//parameter1
    50.000000;//parameter2
    0.300000;//parameter3
    0.400000;//parameter4
   26;//effect number
    1.000000;//parameter1
    2.000000;//parameter2
    1.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    4.000000;//parameter1
    2.000000;//parameter2
    1.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    2.000000;//parameter1
    2.000000;//parameter2
    1.000000;//parameter3
    0.000000;//parameter4
    end_fire_effects;
  begin_hit_effects;
  63;//effect number
    -10.000000;//parameter1
    -30.000000;//parameter2
    4.000000;//parameter3
    1.000000;//parameter4
    end_hit_effects;
Particle placeholder (beacon/radar);//name---------------------------------------
  70;//identifier
  10;//class
  fire0.png;//bullet texture
  50;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  1.000000;//bullet size
  6.280000;//spread
  0.300000;//bullet speed
  400.000000;//time until bullet disappears
  10;//fire rate
  2;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
none;//fire sound
none;//hit sound
  10.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
   end_fire_effects;
  begin_hit_effects;
     end_hit_effects;
Particle Cannon, battleship;//name---------------------------------------double barrel
 71;//identifier
  1;//class
  particlecantwin.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  4.000000;//bullet size
  0.000000;//spread
  1.300000;//bullet speed
  600.000000;//time until bullet disappears
 65;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.0000000;//push target back
  0.000000;//push shooter back
  partcan.wav;//fire sound
  hit1.wav;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
   end_wield_conditions;
  begin_fire_effects;
  27;//effect number
    12.000000;//parameter1
    50.000000;//parameter2
    0.100000;//parameter3
    0.350000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -1.300000;//parameter1
    0.000000;//parameter2
    8.000000;//parameter3
    0.000000;//parameter4
  4;//effect number
    -4.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    2.000000;//parameter1
    30.000000;//parameter2
    10.000000;//parameter3
    0.000000;//parameter4 
29;//effect number
    7.000000;//parameter1
    1.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4
  end_hit_effects;
Flame Thrower pillbox;//name--------------------------------------- also used for tank secondary weapon
 72;//identifier
  7;//class
  invisible.png;//bullet texture
  3;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.1500000;//spread
  0.600000;//bullet speed
  450.000000;//time until bullet disappears
 40;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  12;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  0.010000;//push target back
  0.000000;//push shooter back
  fire.wav;//fire sound
  claws0.wav;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
       end_wield_conditions;
  begin_fire_effects;
       27;//effect number
     12.000000;//parameter1
      50.000000;//parameter2
      0.300000;//parameter3
      0.500000;//parameter4
    26;//effect number
      16.000000;//parameter1
      8.000000;//parameter2
      59.000000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
    4;//effect number
      -7.000000;//parameter1
      0.000000;//parameter2
      4.000000;//parameter3
      0.000000;//parameter4
    23;//effect number
      -4.000000;//parameter1
      59.000000;//parameter2
      4.000000;//parameter3
      5000.000000;//parameter4
  end_hit_effects;
Flying fighter alien cannon;//name---------------------------------------
 73;//identifier
  0;//class
   alienbullet.png;//bullet texture
  3;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  7.500000;//bullet size
  0.130000;//spread
  1.800000;//bullet speed
  600.000000;//time until bullet disappears
 800;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  7;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.070000;//push target back
  0.000000;//push shooter back
  alienlaser.wav;//fire sound
  hit2.wav;//hit sound
  1.0000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon 
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  27;//effect number
    5.000000;//parameter1
    50.000000;//parameter2
    0.400000;//parameter3
    0.450000;//parameter4  
  27;//effect number
    6.000000;//parameter1
    50.000000;//parameter2
    1.300000;//parameter3
    1.400000;//parameter4 
  26;//effect number
    1.000000;//parameter1
    2.000000;//parameter2
    41.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    2.000000;//parameter1
    2.000000;//parameter2
    41.000000;//parameter3
    0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  63;//effect number
    -1.300000;//parameter1
    -2.7500000;//parameter2
    4.000000;//parameter3
    1.000000;//parameter4
  63;//effect number
    -1.300000;//parameter1
    -4.300000;//parameter2
    12.000000;//parameter3
    1.000000;//parameter4
  end_hit_effects;
Egg laying aliens attack;//name---------------------------------------projectile
  74;//identifier
  3;//class
  alienbullet.png;//bullet texture
  15;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  3.7000000;//bullet size
  6.280000;//spread
  0.900000;//bullet speed
 200.000000;//time until bullet disappears
  600;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  7;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.060000;//push target back
  -0.100000;//push shooter back
  shriekattack.wav;//fire sound
  claws0_hit.wav;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  26;//effect number
    7.000000;//parameter1
    20.000000;//parameter2
    74.000000;//parameter3
    0.000000;//parameter4
  27;//effect number	                  light burst
    25.000000;//parameter1
    30.000000;//parameter2
    0.500000;//parameter3
    0.800000;//parameter4
  end_fire_effects;
  begin_hit_effects;
 4;//effect number
      -3.600000;//parameter1
      0.000000;//parameter2
      4.000000;//parameter3
      0.000000;//parameter4
 4;//effect number
      -5.000000;//parameter1
      0.000000;//parameter2
      12.000000;//parameter3
      0.000000;//parameter4
    end_hit_effects;
Ka kalwaa;//name---------------------------------------alien weapon 1
  75;//identifier
 13;//class
  alienbullet.png;//bullet texture
  4;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  4.000000;//bullet size
  0.130000;//spread
  0.900000;//bullet speed
  1100.000000;//time until bullet disappears
 170;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  7;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.10000;//push target back
  0.000000;//push shooter back
 fighter_move3.wav;//fire sound
  claws0_hit.wav;//hit sound
  0.5000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
 0;//condition
    127.000000;//condition parameter0
   1.00000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
  16;//effect number
    127.000000;//parameter1
    -1.000000;//parameter2
    1.000000;//parameter3
    0.000000;//parameter4
  26;//effect number
    7.000000;//parameter1
    17.000000;//parameter2
    75.000000;//parameter3
    0.000000;//parameter4
  27;//effect number	                  light burst
    25.000000;//parameter1
    30.000000;//parameter2
    0.300000;//parameter3
    0.700000;//parameter4
  end_fire_effects;
  begin_hit_effects;
 63;//effect number
      -10.00000;//parameter1
      -33.000000;//parameter2
      4.000000;//parameter3
      1.000000;//parameter4
44;//effect number
      0.40000;//parameter1
      1.000000;//parameter2
      12.000000;//parameter3
      0.000000;//parameter4
    end_hit_effects;
Slime;//name---------------------------------------
  76;//identifier
  11;//class
  slime.png;//bullet texture
  10;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  2.500000;//bullet size
  0.600000;//spread
  0.600000;//bullet speed
  650.000000;//time until bullet disappears
  40;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  2;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  76;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.100000;//push target back
  0.000000;//push shooter back
  squish03.wav;//fire sound
  squish02.wav;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
 0;//condition
    134.000000;//condition parameter0
   1.00000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
    16;//effect number
      134.00000;//parameter1
      -1.000000;//parameter2
      1.000000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
    4;//effect number
      -0.5000000;//parameter1
      0.000000;//parameter2
      4.000000;//parameter3
      0.000000;//parameter4
   1;//effect number
      15000.000000;//parameter1
      -1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
	 45;//effect number
      -1.000000;//parameter1
      15000.000000;//parameter2
      76.000000;//parameter3
      0.000000;//parameter4
  end_hit_effects;
Laser confed heavy fighter;//name---------------------------------------
  77;//identifier
  1;//class
  laser_small2.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  5.000000;//bullet size
  0.000000;//spread
  1.400000;//bullet speed
  1200.000000;//time until bullet disappears
  140;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.00000;//push target back
  0.000000;//push shooter back
  laser1.wav;//fire sound
  hit2.wav;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  27;//effect number
    3.000000;//parameter1
    50.000000;//parameter2
    0.300000;//parameter3
    0.350000;//parameter4  
  27;//effect number
    4.000000;//parameter1
    50.000000;//parameter2
    1.300000;//parameter3
    1.400000;//parameter4 
  end_fire_effects;
  begin_hit_effects;
  4;//effect number
    -3.0000000;//parameter1
    0.000000;//parameter2
    8.000000;//parameter3
    0.000000;//parameter4
  4;//effect number
    -11.000000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4 
29;//effect number
    7.000000;//parameter1
    1.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4
  end_hit_effects;
Mining Beam;//name--------------------------------------- 
  78;//identifier
  14;//class
  invisible.png;//bullet texture
 1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
   5.600000;//bullet speed
  20.000000;//time until bullet disappears
  13;//fire rate
  2;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  hit.wav;//hit effect sound
  0.00000000;//push target back
  0.000000;//push shooter back
  drill.wav;//fire sound
  none;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
 3;//condition number 
    1.000000;//parameter0
    0.5000000;//parameter1
  end_wield_conditions;
  begin_fire_effects;
  27;//effect number
    14.000000;//parameter1
    20.000000;//parameter2
    0.300000;//parameter3
    0.70000;//parameter4  
  27;//effect number
    14.000000;//parameter1
    20.000000;//parameter2
    0.0500000;//parameter3
    0.100000;//parameter4 
 4;//effect number 
    -0.0350000;//parameter1
    0.000000;//parameter2
    1.000000;//parameter3
    0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  4;//effect number - 
    -0.100000;//parameter1
    0.000000;//parameter2
    4.000000;//parameter3
    0.000000;//parameter4
  27;//effect number
    14.000000;//parameter1
    20.000000;//parameter2
    0.100000;//parameter3
    0.300000;//parameter4 
 26;//effect number
    2.000000;//parameter1
    30.000000;//parameter2
    10.000000;//parameter3
    0.000000;//parameter4         
  end_hit_effects;
Kwaj 4 Torpedo;//name---------------------------------------
  79;//identifier
 1;//class
  torpedo.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  5.00000;//bullet size
  0.000000;//spread
  0.55000000;//bullet speed
  2000.000000;//time until bullet disappears
  1100;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.0000000;//push shooter back
 torp.wav;//fire sound
  torphit.wav;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
 0;//condition
   139.000000;//condition parameter0
    1.000000;//condition parameter1  
  end_wield_conditions;
  begin_fire_effects;
 16;//effect number
   139.000000;//parameter1
    -1.000000;//parameter2
    0.000000;//parameter3
    0.000000;//parameter4
  27;//effect number
    14.000000;//parameter1
    50.000000;//parameter2
    0.700000;//parameter3
    0.750000;//parameter4
  27;//effect number
